year,quarter,lad_code,claimant_count
2018,Q1,S12000033,3372
2018,Q1,S12000034,2198
2018,Q1,S12000035,923
2018,Q1,S12000036,4880
2018,Q1,S12000038,3220
2018,Q1,S12000039,2150
2018,Q1,S12000040,2078
2018,Q1,S12000041,1718
2018,Q1,S12000042,3545
2018,Q1,S12000045,1122
2018,Q1,S12000047,6478
2018,Q1,S12000048,1127
2018,Q1,S12000049,14010
2018,Q1,S12000050,6068
2018,Q1,W06000001,1045
2018,Q1,W06000002,1450
2018,Q1,W06000003,1405
2018,Q1,W06000004,1158
2018,Q1,W06000005,1933
2018,Q1,W06000006,1670
2018,Q1,W06000008,550
2018,Q1,W06000009,1575
2018,Q1,W06000010,2075
2018,Q1,W06000011,3580
2018,Q1,W06000012,2422
2018,Q1,W06000013,1825
2018,Q1,W06000014,1333
2018,Q1,W06000015,5042
2018,Q1,W06000016,3235
2018,Q1,W06000018,2918
2018,Q1,W06000019,1257
2018,Q1,W06000020,1765
2018,Q1,W06000021,653
2018,Q1,W06000022,2818
2018,Q1,W06000023,762
2018,Q1,W06000024,1032
2018,Q2,E06000001,4080
2018,Q2,E06000002,4027
2018,Q2,E06000003,2887
2018,Q2,E06000004,3863
2018,Q2,E06000005,2340
2018,Q2,E06000006,3253
2018,Q2,E06000007,3257
2018,Q2,E06000008,3065
2018,Q2,E06000009,3883
2018,Q2,E06000010,6365
2018,Q2,E06000011,2862
2018,Q2,E06000012,3950
2018,Q2,E06000013,3042
2018,Q2,E06000014,1732
2018,Q2,E06000015,3470
2018,Q2,E06000016,4310
2018,Q2,E06000017,183
2018,Q2,E06000018,7408
2018,Q2,E06000019,1213
2018,Q2,E06000020,2097
2018,Q2,E06000021,4417
2018,Q2,E06000022,2160
2018,Q2,E06000023,5273
2018,Q2,E06000024,2078
2018,Q2,E06000025,1550
2018,Q2,E06000026,4302
2018,Q2,E06000027,1647
2018,Q2,E06000030,3160
2018,Q2,E06000031,3012
2018,Q2,E06000032,2592
2018,Q2,E06000033,3382
2018,Q2,E06000034,2348
2018,Q2,E06000035,3390
2018,Q2,E06000036,545
2018,Q2,E06000037,865
2018,Q2,E06000038,1977
2018,Q2,E06000039,1278
2018,Q2,E06000040,687
2018,Q2,E06000041,638
2018,Q2,E06000042,2715
2018,Q2,E06000043,4063
2018,Q2,E06000044,2455
2018,Q2,E06000045,4617
2018,Q2,E06000046,1415
2018,Q2,E06000047,10415
2018,Q2,E06000049,3357
2018,Q2,E06000050,4407
2018,Q2,E06000051,2310
2018,Q2,E06000052,4545
2018,Q2,E06000053,3
2018,Q2,E06000054,4252
2018,Q2,E06000055,3192
2018,Q2,E06000056,1655
2018,Q2,E06000057,4987
2018,Q2,E06000058,4443
2018,Q2,E06000059,2517
2018,Q2,E06000060,3012
2018,Q2,E06000061,4118
2018,Q2,E06000062,4120
2018,Q2,E06000063,4013
2018,Q2,E06000064,1622
2018,Q2,E06000065,5473
2018,Q2,E06000066,7290
2018,Q2,E07000008,775
2018,Q2,E07000009,373
2018,Q2,E07000010,797
2018,Q2,E07000011,880
2018,Q2,E07000012,488
2018,Q2,E07000032,1088
2018,Q2,E07000033,853
2018,Q2,E07000034,1650
2018,Q2,E07000035,287
2018,Q2,E07000036,1987
2018,Q2,E07000037,750
2018,Q2,E07000038,820
2018,Q2,E07000039,535
2018,Q2,E07000040,603
2018,Q2,E07000041,842
2018,Q2,E07000042,427
2018,Q2,E07000043,547
2018,Q2,E07000044,402
2018,Q2,E07000045,663
2018,Q2,E07000046,492
2018,Q2,E07000047,313
